iter	Passed	Remaining
909	20233	2001
910	20256	1978
911	20279	1956
912	20300	1934
913	20321	1912
914	20346	1890
915	20367	1867
916	20390	1845
917	20413	1823
918	20436	1801
919	20459	1779
920	20482	1756
921	20505	1734
922	20529	1712
923	20554	1690
924	20576	1668
925	20598	1646
926	20620	1623
927	20644	1601
928	20667	1579
929	20689	1557
930	20712	1535
931	20734	1512
932	20758	1490
933	20782	1468
934	20805	1446
935	20828	1424
936	20852	1402
937	20875	1379
938	20898	1357
939	20923	1335
940	20950	1313
941	20972	1291
942	20996	1269
943	21018	1246
944	21041	1224
945	21065	1202
946	21090	1180
947	21114	1158
948	21137	1135
949	21161	1113
950	21184	1091
951	21208	1069
952	21232	1047
953	21254	1024
954	21279	1002
955	21302	980
956	21325	958
957	21352	936
958	21376	913
959	21398	891
960	21422	869
961	21446	847
962	21469	824
963	21492	802
964	21516	780
965	21541	758
966	21565	735
967	21589	713
968	21612	691
969	21634	669
970	21657	646
971	21680	624
972	21703	602
973	21725	579
974	21749	557
975	21773	535
976	21796	513
977	21822	490
978	21845	468
979	21867	446
980	21892	424
981	21916	401
982	21939	379
983	21961	357
984	21984	334
985	22007	312
986	22030	290
987	22055	267
988	22078	245
989	22100	223
990	22123	200
991	22145	178
992	22167	156
993	22190	133
994	22215	111
995	22241	89
996	22262	66
997	22284	44
998	22307	22
999	22330	0
